,headline,intro,link
0,Newcastle United  Newcastle fans think they’ve got their club back. But at what cost? ,"After Saudi Arabia’s Public Investment Fund bought Newcastle United, there was jubilation on Tyneside but revulsion among critics who view the deal as an egregious example of sportswashing. What does the deal tell us about the soul of the beautiful game – and what football clubs mean to their fans?",https://www.theguardian.com/news/audio/2021/oct/15/newcastle-fans-think-theyve-got-their-club-back-but-at-what-cost-podcast
1,Work & careers  Has England gone back to the office? ,"Ever since the order to work from home was lifted, workers in England have been heading back to the office – but mostly only a few days a week. Joanna Partridge looks at whether work will ever be the same again",https://www.theguardian.com/news/audio/2021/oct/14/has-england-gone-back-to-the-office-podcast
2,Coronavirus  What went wrong with the UK’s handling of the Covid pandemic? ,A parliamentary report says the initial handling of the coronavirus outbreak was one of the worst public health failures in UK history. Could tens of thousands of deaths have been avoided – and what are the lessons for the future?,https://www.theguardian.com/news/audio/2021/oct/13/what-went-wrong-with-the-uks-handling-of-the-covid-pandemic
3,Sheikh Mohammed bin Rashid al-Maktoum  Dubai’s ruler and the Pegasus phone hacking exposed in a UK court ,A high court judge has ruled that Sheikh Mohammed bin Rashid al-Maktoum hacked the phone of his ex-wife Princess Haya using Pegasus spyware. In this episode we look at the implications of the affair,https://www.theguardian.com/news/audio/2021/oct/12/dubai-ruler-and-pegasus-phone-hacking-exposed-in-a-uk-court
4,Cop26  The countdown to Cop26: can world leaders save the planet? ,Three weeks from today leaders will gather in Glasgow for the Cop26 climate summit. But will their individual pledges to reduce emissions carry enough weight to avert the growing threat of catastrophic global heating?,https://www.theguardian.com/news/audio/2021/oct/11/the-countdown-to-cop26-can-world-leaders-save-the-planet-podcast
5,Social media  The whistleblower who plunged Facebook into crisis ,"After a set of leaks last month that represented the most damaging insight into Facebook’s inner workings in the company’s history, the former employee behind them has come forward. Now Frances Haugen has given evidence to the US Congress – and been praised by senators as a ‘21st century American hero’. Will her testimony accelerate efforts to bring the social media giant to heel?",https://www.theguardian.com/news/audio/2021/oct/08/whistleblower-facebook-plunged-crisis-frances-haugen-podcast
6,Police  Can women trust the police? ,"In the aftermath of the sentencing of Sarah Everard’s killer, women’s trust in the police has collapsed. Can anything be done to restore it? Is misogyny endemic in British policing? And is there a risk that such an appalling crime could happen again?",https://www.theguardian.com/news/audio/2021/oct/07/can-women-trust-the-police-podcast
7,Supply chain crisis  Why everything you’ve heard about panic buying might be wrong ,"With queues outside petrol stations and claims that selfish punters are using jerry cans to stockpile fuel, one word has become synonymous with the supply chain crisis that has hit the UK in recent weeks: panic. But the social psychologist Clifford Stott says something different is going on",https://www.theguardian.com/news/audio/2021/oct/06/why-everything-youve-heard-about-panic-buying-might-be-wrong
8,UK news  The Pandora papers: who’s giving money to the Conservatives? ,Fresh questions for the Conservative party today after it emerged one of its major donors was involved in structuring of a telecoms deal later alleged to be corrupt,https://www.theguardian.com/news/audio/2021/oct/05/the-pandora-papers-whos-giving-money-to-the-conservatives-podcast
9,Tax and spending  Inside the Pandora papers – financial secrets of the rich and powerful ,A massive trove of leaked offshore data reveals the financial dealings of current and former world leaders,https://www.theguardian.com/news/audio/2021/oct/04/inside-the-pandora-papers-financial-secrets-of-the-rich-and-powerful-podcast
10,Conservatives  Boris Johnson wants a conference reset. Will reality ruin it? ,"The prime minister was hoping to use his party’s major gathering to seize the agenda and set out his plans for the rest of the parliamentary term. Instead, he may be forced to deal with evolving supply chain and fuel crises – and bat off claims that Brexit is to blame. The Guardian’s political editor, Heather Stewart, explains the task he has ahead of him",https://www.theguardian.com/news/audio/2021/oct/01/boris-johnson-wants-a-conference-reset-will-reality-ruin-it
11,R Kelly  The conviction of R Kelly ,"More than 20 years after the first allegations of sexual violence and abuse against R Kelly, he has been convicted on racketeering and sex trafficking charges. But as the women of colour who gave evidence celebrate the verdicts, there are renewed questions in the US about how the music industry, the media and the criminal justice system failed to hold him accountable for decades",https://www.theguardian.com/news/audio/2021/sep/30/the-conviction-of-r-kelly
12,Environment  Can China help end the world’s addiction to coal? ,"Beijing has won international praise for announcing that it will stop funding coal projects in the developing world – but it is still heavily reliant on the fossil fuel for rapid economic growth at home. The Guardian’s global environment editor, 
           Jonathan Watts, explains why China took such a significant step before Cop26 – and how much there still is to do",https://www.theguardian.com/news/audio/2021/sep/29/can-china-help-end-the-worlds-addiction-to-coal
13,No Time To Die  Bond is back. Where’s he going next? ,"As Daniel Craig’s final instalment finally hits the cinemas, many are calling for a new kind of 007 – but is the franchise is too conservative to make the leap?",https://www.theguardian.com/news/audio/2021/sep/28/bond-is-back-wheres-he-going-next
14,Mobile phones  The Pegasus project: hacked in London ,The tragic story of Alaa Al-Siddiq has further exposed the extent of how powerful Pegasus spyware has been used against human rights activists even once they have fled their home country,https://www.theguardian.com/news/audio/2021/sep/27/the-pegasus-project-hacked-in-london-podcast
15,Labour conference 2021  Keir Starmer’s make-or-break conference week ,The Labour party meets this weekend in Brighton for its first in-person annual conference since Keir Starmer won the leadership. Jessica Elgot explains why it could define his future prospects,https://www.theguardian.com/news/audio/2021/sep/24/keir-starmers-make-or-break-conference-week-podcast
16,Energy bills  The energy crisis no one saw coming ,"A cold winter, a windless summer, and boom in business have combined to create an energy crisis that is hitting particularly hard in the UK. The Guardian’s energy correspondent Jillian Ambrose explains how it happened – and what it will mean for people",https://www.theguardian.com/news/audio/2021/sep/23/the-energy-crisis-no-one-saw-coming-podcast
17,Germany  Germany decides: who will follow Angela Merkel? ,German voters will elect a new chancellor for the first time in 16 years on Sunday as the Angela Merkel era ends,https://www.theguardian.com/news/audio/2021/sep/22/germany-decides-who-will-follow-angela-merkel-podcast
18,Aukus  Going nuclear: the secret submarine deal to challenge China  ,"It came out of the blue – but the new military pact between Australia, the UK and the US could transform international relations for a generation. The Guardian’s defence and security editor, 
           Dan Sabbagh,
            explains the Aukus deal that has enraged Beijing",https://www.theguardian.com/news/audio/2021/sep/21/going-nuclear-the-secret-submarine-deal-to-challenge-china
19,Culture  Finally! Get ready for a new season of culture ,"New albums, new TV series, and actual live shows – the culture taps might have run dry during the pandemic, but this autumn they are switching on again at last. Our critics give their pick of the new crop",https://www.theguardian.com/news/audio/2021/sep/20/finally-get-ready-for-a-new-season-of-culture
